"New #","Old #","Origin","Domain","Type","Source","Grouping","Code","Description"
"20","33","Industry","Information Governance Process Maturity","Capability","CGOC (2019)","Privacy-by-design","Privacy-by-design","Privacy by Design is incorporated into design specifications and architecture of new systems and processes."
"21","34","Industry","Information Governance Process Maturity","Capability","CGOC (2019)","Accuracy","Data quality","Data quality management processes are fully automated with complete audit trails."
"22","35","Industry","Information Governance Process Maturity","Capability","CGOC (2019)","Materials & resources","Data map","Master data map is fully integrated and ubiquitous."
"23","36","Industry","Information Governance Process Maturity","Capability","CGOC (2019)","Accuracy","Data quality","Data management processes can collect and move data to a repository for cleansing."
"24","37","Industry","Information Governance Process Maturity","Capability","CGOC (2019)","Processing activity","Data processing activity","Advanced analytics used to predict the use and misuse of data."
"25","38","Industry","Information Governance Process Maturity","Capability","CGOC (2019)","System engineering","System decommissioning","IT responds to business requests to decommission applications and works with legal on a manual review process to determine if any open legal matters may apply before decommissioning."
"26","40","Industry","Information Governance Process Maturity","Capability","CGOC (2019)","Accuracy","Data quality","IT routinely analyses the data source catalogue to identify systems with low business value to proactively determine savings opportunities; IT can easily determine duplicative systems from the business value and taxonomy map for instance consolidation."
"27","43","Industry","Information Governance Process Maturity","Capability","CGOC (2019)","Personal data erasure","Data retention & deletion","Tests data source catalogue, back up data and system provisioning to ensure ability to comply and actual policy adherence."
"28","46","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Roles & responsibilities","Roles & responsibilities","Roles and responsibilities are proactively managed for optimisation. Issues are identified, and remedial action taken to address them in a timely manner."
"29","50","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Accountability","Accountability","The ROPA is used as a tool to monitor compliance in the organisation and identify key gaps and risks. Issues are identified and compliance activities are undertaken as a result."
"30","51","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Recording & registering","Recording & registering","A risk register is used to establish a risk baseline and to identify new or changed risks in processing activities and to develop and update risk mitigation activities."
"31","53","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Accountability","Accountability","An audit program is fully implemented and regular audits are carried out addressing relevant data processing activities."
"32","55","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Notice & disclosure","Notice management","A formal change management process is in place to ensure that updates to Privacy Notices and Data protection notices are considered for every project undertaken. Formally ensures updated notices are provided in a timely manner to impacted data subjects and that any changes impacting existing data collection is proactively communicated."
"33","56","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Audit, monitoring, & compliance","Compliance","The organisations website complies with transparency requirements and other relevant legislation (“EPrivacy”) in the general website presentation and the use of cookies and other tracking technologies."
"34","57","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Audit, monitoring, & compliance","Compliance","The organisation proactively considers compliance with regulations and relevant guidelines when implementing changes to its website properties."
"35","60","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Consent","Consent","Consent management and related notices and related policies and procedures are defined and implemented."
"36","63","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Data rights","Data rights","Management regularly monitors the processes and assignments of those responsible for Data Protection Policies and Procedures relating to Data Subject Rights to determine their effectiveness. Where required, changes and improvements are made in a timely and effective fashion."
"37","69","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Personal data rectification","Personal data rectification","Employees have been trained in how to respond to rectification/erasure requests, including recording such requests."
"38","70","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Personal data rectification","Personal data rectification","The organisation reviews the processes used to handle rectification/erasure, restriction or processing and data portability requests to determine where improvements may be made and implements such improvements. Where possible this is automated and self-service is provided when possible and appropriate."
"39","72","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Automated decision-making objection","Automatic decision making","Employees have been trained in how to respond to these requests, including recording such requests."
"40","73","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Personal data rectification","Personal data rectification","The organisation reviews the processes used to handle rights to object/not be subject to automated decision making to determine where improvements may be made and implements such improvements. Where possible this is automated and self-service is provided when possible and appropriate."
"41","76","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Data transmission & transfer","Data transmission & transfer","Documented procedures exist and are consistently and uniformly applied to ensure that appropriate safeguards are in place prior to transferring personal data outside of the EEA."
"42","78","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Purpose limitation","Purpose limitation","Compliance with purpose limitation policies and procedures is proactively managed to deliver deliberate process optimisation. Issues of non-compliance are identified, and remedial action taken to ensure compliance in a timely fashion."
"43","80","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Data minimisation","Data minimisation","Compliance with data minimisation procedures is proactively managed to deliver deliberate process optimisation. Issues of non-compliance are identified, and remedial action taken to ensure compliance in a timely fashion."
"44","82","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Accuracy","Data quality","Compliance with data accuracy procedures is proactively managed to deliver deliberate process optimisation. Issues of non-compliance are identified, and remedial action taken to ensure compliance in a timely fashion."
"45","84","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Storage limitation","Data storage","Compliance with Storage Limitation procedures is proactively managed to deliver deliberate process optimisation. Issues of non-compliance are identified, and remedial action taken to ensure compliance in a timely fashion."
"46","87","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Security activities","Network security","Network security processes are implemented."
"47","88","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Security activities","Network security","Network security measures are reviewed to ensure measures are updated to implement the current state of the art in response to network security risks."
"48","89","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Processing activity","Data processing activity","Change management policies and procedures are defined and implemented and consider the impact of any changes to personal data processing activities, commit the organisation to involve the appropriate personnel and to evaluate and address data protection risks as appropriate."
"49","96","Industry","GDPR compliance","Capability","Fort Privacy (2022)","Privacy-by-design","Privacy-by-design","The approach to data protection by design is continually reviewed and updated based on both internal review and external developments in best practice."
"50","99","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","PIA/DPIA","PIA/DPIA","The controller executes a privacy risk assessment, formulates mitigation measures, and provides elaboration on why the measures are effective."
"51","101","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Risk management","Risks overview","The controller has a complete view of the documented privacy risks."
"52","103","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Risk management","Risk management","Privacy-by-design and the privacy impact assessment are part of the formally defined risk management approach."
"53","104","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","PIA/DPIA","PIA/DPIA","In addition to risk reduction and risk mitigation, the results of PIA’s are used to improve awareness of privacy management in the whole organization."
"54","107","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Lawfulness","Lawfulness","The organization takes into account the developments in the industry regarding the best practices in determining lawfulness of processing activities."
"55","109","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Processing activity","Data processing","There is insight in the relationships between personal data, processing activities, processes, organization, and IT systems."
"56","110","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Processing activity","Data processing activity","The information about personal data and processing activities is taken into account in decisions regarding the change of processing activities."
"57","111","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Recording & registering","Recording & registering","Keeping track of processing activity information is part of organizational data management and architecture processes."
"58","113","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Accuracy","Data quality","The quality management includes provisions for rectification, erasure, and portability."
"59","115","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Accuracy","Data quality","The quality management approach is in line with quality management requirements, standards, and best practices in the industry."
"60","117","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Security activities","Security","Decisions regarding the security of personal data are based on risk analyses."
"61","118","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Security activities","Security","Information security is ensured by integrating an ISMS in the plan and control cycle of the organization."
"62","119","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Security activities","Security monitoring","The effectiveness of information security is measured through KPIs."
"63","122","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Notice & disclosure","Data subject informing","The decision to, and why to, inform a data subject is formalized in a documented process. "
"64","130","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Personal data erasure","Data retention & deletion","The timely and controlled erasure of personal data is part of the design of the processing activity."
"65","131","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Lawfulness","Lawfulness","The controller performs audits on processing activities to check lawfulness."
"66","132","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Audit, monitoring, & compliance","Auditing","Audits are a structural part of the processes."
"67","133","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Audit, monitoring, & compliance","Auditing","Audits are performed in a cyclic process."
"68","134","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Lawfulness","Lawfulness","Determining and reporting the lawfulness in an audit is done in line with best practices in industry."
"69","135","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Lawfulness","Lawfulness","The data protection officer has a dashboard that provides an up-to-date view of the lawfulness of personal data processing activities."
"70","137","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Personal data access","Personal data access","In responding to data access requests, the data protection officer acts in line with best practices in industry."
"71","138","Industry/ government","Privacy maturity","Capability","Centrum informatiebeveiliging en privacybescherming (2017)","Personal data access","Personal data access","The data protection officer has a dashboard that provides an up-to-date view of data access requests and responses."
"72","139","Industry","Privacy maturity","Capability","van Lieshout & Hoepman (2015)","Policy update & improvement","Policy feedback","Customer panels are organized to gather customer feedback on privacy policies."
"73","140","Industry","Privacy maturity","Capability","van Lieshout & Hoepman (2015)","Contact","Customer relationship & contact","Transparency tools like privacy dashboards are introduced which allow customers to control their data and exercise their rights."
"74","141","Industry","Privacy maturity","Capability","van Lieshout & Hoepman (2015)","Awareness & training","Employee awareness","Develop tools that help organizing employee awareness for privacy considerations, such as codes of conduct."
"75","142","Industry","Privacy maturity","Capability","van Lieshout & Hoepman (2015)","Processing activity","Data processing responsibilities","Formulate responsibilities, who is responsible for what kind of data processes and how these processes will be monitored/audited."
"76","143","Industry","Privacy maturity","Capability","van Lieshout & Hoepman (2015)","Awareness & training","Employee awareness","Some employees are designated privacy champions that drive awareness for privacy issues within the organization."
"77","147","Industry","Privacy maturity","Capability","van Lieshout & Hoepman (2015)","System engineering","Architecture","Value added privacy friendly services should have an underlying trusted architecture based on architecture principles."
"78","148","Industry","Privacy maturity","Capability","van Lieshout & Hoepman (2015)","System engineering","Architecture","Trusted architectures are built according to trust requirements that encompass privacy aspects as well."
"79","149","Industry","Privacy maturity","Capability","van Lieshout & Hoepman (2015)","Privacy-by-design","PbD processes","The same PbD principles and procedures that are applied to products for external customers, should be applied to internal products."
"80","150","Industry","Privacy maturity","Capability","van Lieshout & Hoepman (2015)","Privacy-by-design","PbD processes","Processes should be made privacy aware by embedding privacy in the very first system request."
"81","153","Industry","Privacy maturity","Capability","Intel Privacy Office (2013)","Policy update & improvement","Policy update","Changes in regulations are also reflected in updates to policy."
"82","157","Industry","Privacy maturity","Capability","Intel Privacy Office (2013)","Privacy requirements","Privacy requirements","Organization addresses local data protection requirements."
"83","159","Industry","Privacy maturity","Capability","Intel Privacy Office (2013)","Data identification & classification","Data classification","Organization has procedures to ensure classifications are appropriately assigned and protected."
"84","160","Industry","Privacy maturity","Capability","Intel Privacy Office (2013)","Data identification & classification","Data identification","Organization administers a formal risk management process to identify personal information and ensure compliance of business processes, systems, products, and services."
"85","163","Industry","Privacy maturity","Capability","Intel Privacy Office (2013)","Accountability","Accountability","Organization conducts periodic reviews to ensure personal information uses are appropriate."
"86","165","Industry","Privacy maturity","Capability","Intel Privacy Office (2013)","Awareness & training","Awareness & training","Employees who process personal information receive privacy training and are aware of documented policies and local regulations."
"87","167","Industry","Privacy maturity","Capability","Intel Privacy Office (2013)","Awareness & training","Training","Organization regularly updates privacy training to reflect regulatory changes and to incorporate learning situations specific to employee roles."
"88","172","Industry","Privacy maturity","Capability","Intel Privacy Office (2013)","Third-party activities","Third-party consent","Organization has implemented procedures to obtain consent for any personal information to be disclosed to third parties."
"89","173","Industry","Privacy maturity","Capability","Intel Privacy Office (2013)","Third-party activities","Third-party consent","Management ensures that the organization obtained consent before disclosing personal information to third parties."
"90","176","Industry","Privacy maturity","Capability","Intel Privacy Office (2013)","Data subject awareness","Data subject awareness","Individuals know what information about them exists and can update it."
"91","184","Industry","Privacy maturity","Capability","Intel Privacy Office (2013)","Security activities","Security awareness","Employees are aware of security required to protect personal information."
"92","185","Industry","Privacy maturity","Capability","Intel Privacy Office (2013)","Security activities","Security monitoring","Management monitors violations to security policies, conducts annual reviews of security, and implements improvements."
"93","186","Academia","Privacy maturity","Capability","Qi (2016)","Consent","Consent","Allow data subject to freely opt-in and opt-out."
"94","187","Academia","Privacy maturity","Capability","Qi (2016)","Purpose limitation","Purpose limitation","Define lawful purposes for collecting and processing personal data before personal data collection."
"95","189","Academia","Privacy maturity","Capability","Qi (2016)","Privacy policy","Privacy policy","Ensure data subjects understand the privacy policies before providing consent without special knowledge."
"96","191","Academia","Privacy maturity","Capability","Qi (2016)","Data collection","Data identification & classification","Collect personal data in a privacy friendly way."
"97","192","Academia","Privacy maturity","Capability","Qi (2016)","Data collection","Data identification & classification","Specify the tracking technologies that have been used (cookies, web beacons, clicking behaviour, etc.) for personal data collection."
"98","193","Academia","Privacy maturity","Capability","Qi (2016)","Notice & disclosure","Data subject informing","Notify data subjects that providing additional personal data (e.g. for marketing purpose) is optional."
"99","195","Academia","Privacy maturity","Capability","Qi (2016)","Consent","Consent","Make provisions for data subjects to withdraw consent."
"100","197","Academia","Privacy maturity","Capability","Qi (2016)","Consent","Consent","Offer equitable conditions to data subjects who do not consent to provide personal data."
"101","199","Academia","Privacy maturity","Capability","Qi (2016)","Data minimisation","Data minimisation","Minimize personal data collected for each purpose."
"102","200","Academia","Privacy maturity","Capability","Qi (2016)","Data identification & classification","Data identification & classification","Separate the storage of personal data collected from different sources."
"103","201","Academia","Privacy maturity","Capability","Qi (2016)","Processing activity","Data processing activity","Set up aggregation mechanisms before personal data processing and storage."
"104","202","Academia","Privacy maturity","Capability","Qi (2016)","Technology","Technology","Set up anonymization mechanisms before personal data collection, processing and storage."
"105","204","Academia","Privacy maturity","Capability","Qi (2016)","Integrity & confidentiality","Data collection source reliability","Only collect personal data from sources whose reliability can be attested."
"106","205","Academia","Privacy maturity","Capability","Qi (2016)","Automated decision-making objection","Automatic decision making","Make sure that the automatically generated personal data does not lead to false judgements."
"107","210","Academia","Privacy maturity","Capability","Qi (2016)","Stakeholder communication","Stakeholder communication","Provide personal data changes in time to any relevant privacy stakeholders."
"108","211","Academia","Privacy maturity","Capability","Qi (2016)","Threat management","Threat management","Record the unresolved personal data challenges."
"109","212","Academia","Privacy maturity","Capability","Qi (2016)","Stakeholder communication","Stakeholder communication","Inform privacy stakeholders in time about the unresolved personal data challenges."
"110","215","Academia","Privacy maturity","Capability","Qi (2016)","Processing activity","Data processing technology","Define and document the purposes and technologies used for personal data processing."
"111","217","Academia","Privacy maturity","Capability","Qi (2016)","Purpose limitation","Purpose limitation","Periodically evaluate the alignment between personal data and its purpose."
"112","220","Academia","Privacy maturity","Capability","Qi (2016)","Policy monitoring & compliance","Policy monitoring","Evaluate whether the privacy policy needs to be expanded for sharing new types of personal data."
"113","221","Academia","Privacy maturity","Capability","Qi (2016)","Data collection","Data identification & classification","Document the type of personal data collected."
"114","222","Academia","Privacy maturity","Capability","Qi (2016)","Notice & disclosure","Notice & disclosure","Define any cases that may disclose personal data."
"115","224","Academia","Privacy maturity","Capability","Qi (2016)","Policy content","Policy content","Specify policies and practices about public-available personal data."
"116","225","Academia","Privacy maturity","Capability","Qi (2016)","Notice & disclosure","Data subject informing","Inform data subjects about their rights and choices."
"117","227","Academia","Privacy maturity","Capability","Qi (2016)","Privacy policy","Privacy policy","Archive and provide easy access to the historical versions of policy."
"118","229","Academia","Privacy maturity","Capability","Qi (2016)","System engineering","System decommissioning","Specify a personal data decommission plan in the system design."
"119","230","Academia","Privacy maturity","Capability","Qi (2016)","Processing activity","Data processing","Restrict the number of personal data stakeholders and their access to the minimum need of personal data."
"120","231","Academia","Privacy maturity","Capability","Qi (2016)","Threat management","Threat management","Conduct attack surface analysis and privacy threat modelling."
"121","232","Academia","Privacy maturity","Capability","Qi (2016)","Threat management","Threat management","Identify and prioritize privacy threats."
"122","233","Academia","Privacy maturity","Capability","Qi (2016)","Privacy requirements","Privacy requirements","Validate and verify the system's alignment with the privacy requirements."
"123","235","Academia","Privacy maturity","Capability","Qi (2016)","System engineering","System design & development","Design and implement adequate Privacy-Enhancing Technologies (PETs)."
"124","236","Academia","Privacy maturity","Capability","Qi (2016)","Incident & breach response","Breach response","Notify data subjects about privacy breaches."
"125","237","Academia","Privacy maturity","Capability","Qi (2016)","Incident & breach response","Breach response","Notify the Supervisory Authority when there are privacy breaches."
"126","238","Academia","Privacy maturity","Capability","Qi (2016)","Incident & breach response","Breach response","Provide sanction and/or remedy procedures for privacy breaches."
"127","239","Academia","Privacy maturity","Capability","Qi (2016)","Privacy requirements","Privacy requirements","Specify an entity responsible for privacy related issues."
"128","241","Academia","Privacy maturity","Capability","Qi (2016)","Policy content","Policy content","Set up policy for internal personal data sharing."
"129","244","Academia","Privacy maturity","Capability","Qi (2016)","Third-party activities","Third-party data sharing","Minimize personal data shared with external entities."
"130","245","Academia","Privacy maturity","Capability","Qi (2016)","Notice & disclosure","Data subject informing","Inform data subjects about sharing their personal data."
"131","249","Academia","Data governance maturity","Capability","Cheng et al. (2017)","Personal data access","Personal data access","Ensuring proper access to data through technical or non-technical means and that the data is not leaked or altered by human or accidental damage."
"132","250","Academia","Data governance maturity","Capability","Cheng et al. (2017)","Privacy policy","Privacy policy","Ensuring data privacy in data governance process."
"133","251","Academia","Data governance maturity","Capability","Cheng et al. (2017)","Policy monitoring & compliance","Policy compliance","Ensuring that cloud data governance activities are managed in accordance with applicable national laws, regulations, industry rules, and self-discipline standards."
"134","252","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Data rights","Data rights","Policies are defined for: notice, choice and consent; collection; use, retention and disposal; access; disclosure; security for privacy; quality; and monitoring and enforcement."
"135","255","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Privacy policy","Privacy policy","Changes and improvements to messaging and communications techniques are made in response to periodic assessments and feedback. Changes in privacy policies are communicated to personnel shortly after the changes are approved."
"136","260","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Audit, monitoring, & compliance","Monitoring","Management’s review and approval of privacy policies also include periodic assessments of the privacy program to ensure all changes are warranted, made and approved; if necessary, the approval process will be revised."
"137","271","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Incident & breach response","Breach management","A walkthrough of the breach management plan is performed periodically and updates to the program are made as needed."
"138","272","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Materials & resources","Privacy resources","Individuals with responsibility and/ or accountability for privacy are empowered with appropriate authority and resources. Such resources are made available throughout the entity."
"139","273","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Privacy programme/framework","Privacy programme/framework","Management annually reviews its privacy program and seeks ways to improve the program’s performance, including assessing the adequacy, availability and performance of resources."
"140","274","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Awareness & training","Training","The entity defines qualifications for personnel who perform or manage the entity’s collection, use and disclosure of personal information."
"141","276","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Roles & responsibilities","Roles & responsibilities","The entity has formed a nucleus of privacy qualified individuals to provide privacy support to assist with specific issues, including training and job assistance."
"142","285","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Stakeholder communication","Stakeholder communication","The entity solicits input from relevant stakeholders regarding the appropriate means of providing notice and makes changes as deemed appropriate."
"143","286","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Notice & disclosure","Notice","Notice is provided using various techniques to meet the communications technologies of their constituents (e.g. social media, mobile communications, etc)."
"144","290","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Policy update & improvement","Policy improvement","Feedback about improvements to the readability and content of the privacy policies are analysed and incorporated into future versions of the privacy notice."
"145","291","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Consent","Consent","Choice and consent provisions in privacy policies and procedures cover all relevant aspects and are fully documented."
"146","292","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Consent","Consent","Management monitors compliance with privacy policies and procedures relating to choice and consent. Issues of non-compliance are identified and remedial action taken to ensure compliance."
"147","300","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Consent","Consent","Explicit consent is documented and implicit consent processes are appropriate. Processes are in place to ensure that consent is recorded by the entity and referenced prior to future use."
"148","301","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Consent","Consent","Consent processes are periodically reviewed to ensure the individual’s preferences are being appropriately recorded and acted upon and, where necessary, improvements made. Automated processes are followed to test consent prior to use of personal information."
"149","303","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Consent","Consent","Consent processes are periodically reviewed to ensure consent for new purposes is being appropriately recorded and acted upon and where necessary, improvements made. Automated processes are followed to test consent prior to use of personal information."
"150","308","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Consent","Consent","The application is designed to consistently solicit and obtain consent before personal information is transferred to/from another computer or other similar device and does not make any such transfers if consent has not been obtained. Such consent is documented."
"151","309","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Consent","Consent","Where procedures have been identified that do not obtain consent before personal information is transferred to/from an individual’s computer or other similar device, remediation plans are identified and implemented."
"152","310","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Policy content","Policy content","Collection provisions in privacy policies cover all relevant aspects of collection and are fully documented."
"153","311","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Policy monitoring & compliance","Policy monitoring & compliance","Management monitors compliance with privacy policies and procedures relating to collection. Issues of non-compliance are identified and remedial action taken to ensure compliance."
"154","317","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Purpose limitation","Purpose limitation","Policies and procedures that have been implemented are fully documented to clearly distinguish the personal information essential for the purposes identified in the notice and differentiate it from optional information. Collection of personal information is limited to information necessary for the purposes identified in the privacy notice."
"155","318","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Policy update & improvement","Policy update","Policies, procedures and business processes are updated due to changes in the entity’s needs for personal information. Corrective action is undertaken when information not necessary for the purposes identified is collected."
"156","319","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Data collection","Data identification & classification","Methods of collecting personal information are reviewed by management before they are implemented to confirm that personal information is obtained (a) fairly, without intimidation or deception, and (b) lawfully, adhering to all relevant rules of law, whether derived from statute or common law, relating to the collection of personal information."
"157","320","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Audit, monitoring, & compliance","Monitoring","Complaints to the entity are reviewed to identify where unlawful or deceptive practices exist. Such complaints are reviewed, analysed and changes to policies and procedures to correct such practices are implemented."
"158","321","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Third-party activities","Third-party policy","The entity consistently reviews privacy policies, collection methods, and types of consents of third parties before accepting personal information from third-party data sources. Clauses are included in agreements that require third-parties to collect information fairly and lawfully and in accordance with the entity’s privacy policies."
"159","323","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Policy content","Policy content","Use, retention and disposal provisions in privacy policies and procedures cover all relevant aspects and are fully documented."
"160","324","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Accountability","Accountability","Management monitors compliance with privacy policies and procedures relating to use, retention, and disposal. Issues of non-compliance are identified and remedial action taken to ensure compliance in a timely fashion."
"161","326","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Data subject awareness","Data subject awareness","Individuals’ general level of understanding of use, retention and disposal of personal information is assessed. Feedback is used to continuously improve communication methods."
"162","327","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Purpose limitation","Purpose limitation","Use of personal information is consistent with the purposes identified in the privacy notice. Consent for these uses is consistently obtained. Uses of personal information throughout the entity are in accordance with the individual’s preferences and consent."
"163","328","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Accountability","Accountability","The uses of personal information are monitored and periodically assessed for appropriateness; verifications of consent and usage are conducted through the use of automation. Any discrepancies are remediated in a timely fashion. "
"164","340","Industry","Privacy maturity","Capability","AICPA/CICA (2011)","Personal data access","Personal data access","Procedures have been implemented that consistently and uniformly provide personal information to the individual in an understandable form, in a reasonable timeframe and at a reasonable cost."
