"New #","Old #","Origin","Domain","Type","Source","Grouping","Code","Description","Implemented when","Responsible actor"
"36","75","Academia","Privacy-by-design in IS","Practice","Arfaoui et al. (2020)","System engineering","Strategies, tactics, & patterns","Implementation techniques in line with the strategies are chosen and implemented.","N/A","N/A"
"37","77","Academia","PbD in medical applications","Practice","Kalloniatis et al (2020)","Data management","Data subject identification","The categories of the data subjects are identified and documented.","During data process elicitation","N/A"
"38","79","Academia","PbD in medical applications","Practice","Kalloniatis et al (2020)","Processing activity","Processing activity","High risk data processing activities are identified and documented.","During data process elicitation","N/A"
"39","81","Academia","PbD in medical applications","Practice","Kalloniatis et al (2020)","Processing activity","Processing activity","The categories of recipients to whom the personal data are disclosed are identified and documented.","During data process elicitation","N/A"
"40","84","Academia","PbD in medical applications","Practice","Kalloniatis et al (2020)","Processing activity","Processing activity","A GDPR gap analysis is performed by reviewing each personal data processing category against the GDPR requirements.","N/A","N/A"
"41","85","Academia","PbD in medical applications","Practice","Kalloniatis et al (2020)","Threat management","Threat management","Security and privacy threats are identified along with the specific vulnerabilities and/or potential failures that may cause them.","During requirements elicitation","N/A"
"42","88","Academia","PbD in medical applications","Practice","Kalloniatis et al (2020)","Privacy-by-design","Requirements","All security and privacy requirements are collected and validated for technical soundness and implementation viability.","During requirements elicitation","N/A"
"43","89","Academia","PbD in medical applications","Practice","Kalloniatis et al (2020)","PIA/DPIA","PIA process & support","A data protection impact assessment (DPIA) method will be applied.","During DPIA process","N/A"
"44","94","Academia","PbD in medical applications","Practice","Kalloniatis et al (2020)","PIA/DPIA","PIA component","The DPIA considers both  legal requirements and  the technical security and privacy requirements.","During DPIA process","N/A"
"45","99","Academia","Model-based PbD","Practice","Piras et al. (2020)","Data management","Data management","All data assets are identified and documented.","N/A","Business analyst"
"46","100","Academia","Model-based PbD","Recommendation","Piras et al. (2020)","System engineering","System development","Analyses are supported by graphical representations and models.","N/A","Business analyst"
"47","102","Academia","Model-based PbD","Practice","Piras et al. (2020)","Security","Breach/incident management","Data assets that can be affected by data issues/breaches are identified.","N/A","Privacy/security analyst"
"48","105","Academia","Model-based PbD","Practice","Piras et al. (2020)","Privacy-by-design","Privacy-by-Design","Privacy/security analyses are supported by GDPR patterns and modelling techniques.","N/A","Privacy/security analyst"
"49","107","Academia","Model-based PbD","Practice","Piras et al. (2020)","Privacy-by-design","Requirements","Privacy/security requirements constraints are identified and documented.","N/A","Privacy/security analyst"
"50","112","Academia","GDPR requirements","Privacy property","Huth & Matthes (2019)","Data processing principles","Integrity & confidentiality","Integrity: protection against accidental loss, destruction or damage (GDPR).","N/A","N/A"
"51","113","Academia","GDPR requirements","Privacy property","Huth & Matthes (2019)","Data processing principles","Integrity & confidentiality","Confidentiality: Protection against unauthorized or unlawful processing (GDPR), property that information is not made available or disclosed to unauthorized individuals, entities, or processes (ISO).","N/A","N/A"
"52","114","Academia","GDPR requirements","Privacy property","Huth & Matthes (2019)","Data subject rights","Data access","Availability/Access: property of being accessible and usable on demand by an authorized entity (ISO).","N/A","N/A"
"53","120","Academia","GDPR requirements","Privacy property","Huth & Matthes (2019)","Security","Security activities","Encryption: protection measures that render data unintelligible to any person who is not authorised to access it" (GDPR).,"N/A","N/A"
"54","122","Academia","DPbD in EHR","Practice","Bincoletto (2019)","Privacy-by-design","Requirements","A gap analysis is performed to identify legal requirements.","N/A","N/A"
"55","126","Academia","DPbD in EHR","Practice","Bincoletto (2019)","Privacy-by-design","Controls","Solutions to risks take into account the state-of-the-art of the technology and implementation costs.","N/A","N/A"
"56","130","Academia","DPbD in EHR","Practice","Bincoletto (2019)","Security","Security activities","Systems are updated frequently.","N/A","N/A"
"57","131","Academia","DPbD in EHR","Practice","Bincoletto (2019)","Security","Security activities","Intrusion controls systems are in place.","N/A","N/A"
"58","132","Academia","DPbD in EHR","Practice","Bincoletto (2019)","Lawfulness, fairness, and transparency","Consent","The data controller is alerted when a data subject withdraws consent.","N/A","N/A"
"59","133","Academia","DPbD in EHR","Practice","Bincoletto (2019)","Transparent information and communication for exercise of data rights","Data subject communication","The data controller creates a privacy policy and provides all necessary information to data subjects.","N/A","N/A"
"60","134","Academia","DPbD in EHR","Practice","Bincoletto (2019)","Transparent information and communication for exercise of data rights","Data subject communication","Information provided to data subjects is transparent and easily accessible, using clear and plain language.","N/A","N/A"
"61","136","Academia","DPbD in EHR","Practice","Bincoletto (2019)","Security","Security activities","The register of authorised data access subjects should be constantly updated.","N/A","N/A"
"62","141","Academia","DPbD in EHR","Recommendation","Bincoletto (2019)","Security","Breach/incident management","An insurance policy for data breaches is formulated.","N/A","N/A"
"63","142","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","System engineering","System development","Identify privacy scope of software project.","Software implementation initiation","N/A"
"64","143","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","System engineering","System modelling","Review models for incorporating privacy in software development.","Software implementation initiation","N/A"
"65","145","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","Privacy-by-design","Requirements","Elicit requirements using privacy related ontologies.","Requirements analysis","N/A"
"66","147","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","Security","Security activities","Adapt security methods to address privacy concerns.","Requirements analysis","N/A"
"67","148","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","Privacy-by-design","Privacy goals","Model privacy goals in use case diagrams.","Requirements analysis","N/A"
"68","150","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","Privacy-by-design","Privacy goals","Apply privacy patterns to address privacy goals.","Requirements analysis","N/A"
"69","152","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","System engineering","Strategies, tactics, & patterns","Use a pattern to dynamically incorporate design patterns.","Software architecture and detailed design","N/A"
"70","153","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","System engineering","Architecture","Assess privacy capability of software architecture.","Software architecture and detailed design","N/A"
"71","155","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","Lawfulness, fairness, and transparency","Transparency","Apply privacy transparency patterns.","Software architecture and detailed design","N/A"
"72","156","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","System engineering","Architecture","Assess architecture considering data integrity.","Software construction","N/A"
"73","157","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","System engineering","Strategies, tactics, & patterns","Provide code excerpts to show how to implement privacy patterns.","N/A","N/A"
"74","158","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","Privacy-by-design","Privacy goals","Agree with Customer on a structured set of Privacy Goals.","N/A","N/A"
"75","159","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","Policy","Privacy policy","Define Privacy Policy together with Customer.","N/A","N/A"
"76","160","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","Privacy-by-design","Privacy goals","Conduct revision meetings to update Privacy Goals .","N/A","N/A"
"77","161","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","Policy","Privacy policy","Conduct revision meetings to update Privacy Policy.","N/A","N/A"
"78","162","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","PIA/DPIA","PIA component","Identify and evaluate risks associated with privacy issues together with Customer.","N/A","N/A"
"79","163","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","Audit, monitoring, & compliance","Auditing","Audit software for privacy.","N/A","N/A"
"80","164","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","Privacy-by-design","Requirements","Document or update Privacy Scenarios and their stakeholders.","N/A","N/A"
"81","165","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","Privacy-by-design","Requirements","Document or update Requirements Specification taking into account Privacy Scenarios.","N/A","N/A"
"82","167","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","Organisational privacy awareness","Roles & responsibilities","Create Role/Functionality Matrix.","N/A","N/A"
"83","168","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","System engineering","Architecture","Generate architectural design taking into account Privacy Scenarios.","N/A","N/A"
"84","172","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","Data processing principles","Accountability","Verify and obtain approval of Privacy Policy/Privacy Scenarios/Sensitive Data Dictionary/Role/Functionality Matrix.","N/A","N/A"
"85","173","Academia","Extending ISO/IEC 29110 with PbD","Practice","Morales-Trujillo & García-Mireles (2018)","Organisational privacy awareness","Roles & responsibilities","A PbD manager is assigned. Competences are: experience in data governance, familiarity with privacy protection techniques and knowledge of data privacy laws.","N/A","N/A"
"86","177","Academia","IoT Privacy-by-design","Practice","Chaudhuri & Cavoukian (2018)","System engineering","System development","Privacy enhancing capabilities are embedded in the system architecture and service design.","N/A","N/A"
"87","178","Academia","IoT Privacy-by-design","Practice","Chaudhuri & Cavoukian (2018)","Privacy-by-design","Privacy-by-Design","Privacy runs through the fabric of system and service components, providing full functionality with other key requirements like security and safety.","N/A","N/A"
"88","179","Academia","IoT Privacy-by-design","Practice","Chaudhuri & Cavoukian (2018)","Data processing principles","Storage limitation","Contextual data collected should be preserved with appropriate security and privacy measures for the entire duration of the data lifecycle and then destroyed ensuring no remanence.","N/A","N/A"
"89","181","Academia","IoT Privacy-by-design","Practice","Chaudhuri & Cavoukian (2018)","System engineering","System development","Develop the system Data Flows, Application Interfaces, Infrastructure and Network Layouts Based on Stakeholder Needs","N/A","N/A"
"90","185","Academia","IoT Privacy-by-design","Practice","Chaudhuri & Cavoukian (2018)","System engineering","System development","Build system Privacy Capabilities.","N/A","N/A"
"91","187","Academia","IoT Privacy-by-design","Practice","Chaudhuri & Cavoukian (2018)","Audit, monitoring, & compliance","Monitoring","Continuously Review Effectiveness of Privacy Controls and Identify New Privacy Risks.","N/A","N/A"
"92","188","Academia","Privacy-by-design engineering","PbD Criterion","Alshammari & Simpson (2017)","Privacy-by-design","Privacy goals","The adoption of universal privacy principles and protection goals.","N/A","N/A"
"93","189","Academia","Privacy-by-design engineering","PbD Criterion","Alshammari & Simpson (2017)","Threat management","Threat management","The adoption of the data lifecycle as a basis for the contextual analysis to identify system harmful activities in a comprehensive manner.","N/A","N/A"
"94","190","Academia","Privacy-by-design engineering","PbD Criterion","Alshammari & Simpson (2017)","Privacy-by-design","Requirements","The appropriate interpretation of stakeholders expectations and concerns into operational requirements.","N/A","N/A"
"95","191","Academia","Privacy-by-design engineering","PbD Criterion","Alshammari & Simpson (2017)","Threat management","Threat management","The adoption of an appropriate privacy threat analysis framework accompanying by impact analysis and assessment processes.","N/A","N/A"
"96","192","Academia","Privacy-by-design engineering","PbD Criterion","Alshammari & Simpson (2017)","Privacy-by-design","Controls","The specification of the required level of privacy protection.","N/A","N/A"
"97","193","Academia","Privacy-by-design engineering","PbD Criterion","Alshammari & Simpson (2017)","System engineering","Architecture","The identification of appropriate strategies for mapping privacy requirements onto software architectures.","N/A","N/A"
"98","197","Academia","PbD process patterns","Privacy property","Diamantopoulou et al. (2017)","Security","Security activities","Undetectability:  the inability for a third party to distinguish who is the user (among a set of potential users) using a service.","N/A","N/A"
"99","198","Academia","PbD process patterns","Privacy property","Diamantopoulou et al. (2017)","Security","Security activities","Unobservability: the inability of a third party to observe if a user (among a set of potential users) is using a service.","N/A","N/A"
"100","203","Academia","Privacy engineering","Practice","Notario (2015)","Privacy-by-design","Requirements","Privacy requirements are related to specific threats and/or principles to guarantee traceability and accountability.","N/A","N/A"
"101","205","Academia","Privacy-by-design","Practice","Kroener & Wright (2014)","Privacy-by-design","Privacy-by-design","Privacy-by-design adheres to a cyclical strategy involving PbD principles, a PIA process, and a menu of PETs.","N/A","N/A"
"102","208","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA component","A PIA includes the identification of privacy targets that need to be reached through system design.","During DPIA process","N/A"
"103","209","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA component","Privacy development targets are weighed and assigned to protection demand categories that reflect their importance in a PIA.","During DPIA process","N/A"
"104","214","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","Privacy-by-design","Controls","Controls are evaluated for feasibility and effectiveness through a cost-benefit.","During DPIA process","N/A"
"105","215","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","Privacy-by-design","Controls","Data controllers produce a control implementation plan that clearly identifies how each threat is mitigated and where threats remain unaddressed.","During DPIA process","N/A"
"106","217","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains a system overview.","N/A","N/A"
"107","218","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains system boundaries.","N/A","N/A"
"108","219","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains system purposes.","N/A","N/A"
"109","220","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains identified relevant privacy targets.","N/A","N/A"
"110","221","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains addressed relevant privacy threats.","N/A","N/A"
"111","222","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains chosen privacy controls.","N/A","N/A"
"112","223","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains encountered residual risks.","N/A","N/A"
"113","224","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains involved stakeholders.","N/A","N/A"
"114","225","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains checked legal compliance.","N/A","N/A"
"115","226","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains PIA start data/system's start date.","N/A","N/A"
"116","227","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains person(s) involved in the PIA.","N/A","N/A"
"117","228","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains the organisation who conducted the PIA.","N/A","N/A"
"118","229","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains person who approved the PIA.","N/A","N/A"
"119","230","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains who is responsible for privacy in the organisation.","N/A","N/A"
"120","231","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains the data of PIA completion.","N/A","N/A"
"121","232","Academia","Privacy impact assessment","Practice","Oetzel & Spiekermann (2014)","PIA/DPIA","PIA report content","PIA report contains the time frame of PIA validity.","N/A","N/A"
"122","233","Academia","Privacy impact assessment","Privacy target","Oetzel & Spiekermann (2014)","Lawfulness, fairness, and transparency","Lawfulness, fairness, and transparency","Ensuring fair and lawful processing through transparency.","N/A","N/A"
"123","236","Academia","Privacy impact assessment","Privacy target","Oetzel & Spiekermann (2014)","Processing activity","Processing activity","Ensuring limited processing for specified purpose.","N/A","N/A"
"124","237","Academia","Privacy impact assessment","Privacy target","Oetzel & Spiekermann (2014)","Data management","Data management","Ensuring data avoidance.","N/A","N/A"
"125","241","Academia","Privacy impact assessment","Privacy target","Oetzel & Spiekermann (2014)","Processing activity","Processing activity","Ensuring legitimacy of personal data processing.","N/A","N/A"
"126","242","Academia","Privacy impact assessment","Privacy target","Oetzel & Spiekermann (2014)","Processing activity","Processing activity","Ensuring legitimacy of sensitive personal data processing.","N/A","N/A"
"127","244","Academia","Privacy impact assessment","Privacy target","Oetzel & Spiekermann (2014)","Data subject rights","Information where personal data are not collected","Providing adequate information where data has not been obtained directly from the data subject (e.g., from third parties).","N/A","N/A"
"128","248","Academia","Privacy impact assessment","Privacy target","Oetzel & Spiekermann (2014)","Third-party privacy management","Third-party","Facilitating the notification to third parties about rectification, erasure and blocking of data.","N/A","N/A"
"129","249","Academia","Privacy impact assessment","Privacy target","Oetzel & Spiekermann (2014)","Data subject rights","Data processing restriction","Facilitating the objection to the processing of personal data.","N/A","N/A"
"130","250","Academia","Privacy impact assessment","Privacy target","Oetzel & Spiekermann (2014)","Data subject rights","Data processing restriction","Facilitating the objection to direct marketing activities.","N/A","N/A"
"131","251","Academia","Privacy impact assessment","Privacy target","Oetzel & Spiekermann (2014)","Data subject rights","Data processing restriction","Facilitating the objection to disclosure of data to third parties.","N/A","N/A"
"132","252","Academia","Privacy impact assessment","Privacy target","Oetzel & Spiekermann (2014)","Data subject rights","Automated decision-making objection","Facilitating the objection to decisions that are solely based on automated processing of data.","N/A","N/A"
"133","253","Academia","Privacy impact assessment","Privacy target","Oetzel & Spiekermann (2014)","Data subject rights","Automated decision-making objection","Facilitating the data subject's right to dispute the correctness of machine conclusions.","N/A","N/A"
"134","254","Academia","Privacy impact assessment","Privacy target","Oetzel & Spiekermann (2014)","Data processing principles","Integrity & confidentiality","Ensuring the confidentiality, integrity and availability of personal data storage, processing and transmission.","N/A","N/A"
"135","256","Academia","Privacy impact assessment","Privacy target","Oetzel & Spiekermann (2014)","Data processing principles","Accountability","Ensuring the accountability of personal data storage, processing and transmission.","N/A","N/A"
"136","257","Academia","PbD in ITS applications","Practice","Kung et al. (2011)","Data processing principles","Data minimisation","All personal data items are critically evaluated to determine if they are necessary or whether suitable data transformation can be applied.","During requirements analysis","N/A"
"137","258","Academia","PbD in ITS applications","Practice","Kung et al. (2011)","Privacy-by-design","Technology","Each processed data item and associated privacy policy is critically considered to determine whether suitable technical enforcement can be applied.","During design & implementation","N/A"
"138","259","Academia","PbD in ITS applications","Practice","Kung et al. (2011)","Data management","Data management","The set of operation data, the set of data policies, and the set of privacy enhancing technologies are mapped onto each other.","During design & implementation","N/A"
"139","263","Academia","Privacy-by-design","Practice","van Lieshout et al. (2011)","PIA/DPIA","PIA component","The PIA contains the description of the data needed.","During DPIA process","N/A"
"140","265","Academia","Privacy-by-design","Practice","van Lieshout et al. (2011)","PIA/DPIA","PIA component","The PIA contains safeguards on the quality of the data.","During DPIA process","N/A"
"141","266","Academia","Privacy-by-design","Practice","van Lieshout et al. (2011)","PIA/DPIA","PIA component","The PIA contains a description of access control.","During DPIA process","N/A"
"142","267","Academia","Privacy-by-design","Practice","van Lieshout et al. (2011)","PIA/DPIA","PIA component","The PIA contains a description of log systems.","During DPIA process","N/A"
"143","269","Academia","Privacy-by-design","Practice","van Lieshout et al. (2011)","PIA/DPIA","PIA component","The PIA contains the determination whether sensitive data are processed.","During DPIA process","N/A"
"144","270","Academia","Privacy-by-design","Practice","van Lieshout et al. (2011)","PIA/DPIA","PIA component","The PIA contains a description of additional measures in regards to sensitive data.","During DPIA process","N/A"
"145","273","Academia","Privacy-by-design","Practice","van Lieshout et al. (2011)","Privacy-by-design","Controls","Privacy enhancing tools and measures are applied.","N/A","N/A"
"146","276","Academia","Privacy-by-design","Practice","van Lieshout et al. (2011)","Audit, monitoring, & compliance","Monitoring","Business processes are regularly monitored and audited.","N/A","N/A"
"147","277","Academia","Privacy-by-design","Practice","van Lieshout et al. (2011)","Organisational privacy awareness","Roles & responsibilities","A chief privacy officer is appointed.","N/A","N/A"
"148","278","Academia","Privacy-by-design","Practice","van Lieshout et al. (2011)","Organisational privacy awareness","Roles & responsibilities","A privacy and data protection committee is appointed.","N/A","N/A"
"149","280","Academia","Privacy-by-design","Practice","van Lieshout et al. (2011)","Privacy-by-design","Privacy-by-Design","The design of the physical environment is included in the PbD process.","N/A","N/A"
"150","282","Academia","Privacy-by-design","Practice","van Lieshout et al. (2011)","Transparent information and communication for exercise of data rights","Data subject communication","Data subjects are provided transparent information regarding privacy policies and uses by the organisation through transparency tools.","N/A","N/A"
"151","283","Academia","DPbD modelling framework","Practice","Sion et al. (2020)","Privacy-by-design","Privacy-by-Design","Data protection by design is applied through a comprehensive and structured model-driven approach that supports the exhaustive modelling of data processing activities and related information elements in a systematic and structured fashion.","N/A","N/A"
"152","288","Academia","PbD in healthcare","Practice","Semantha et al. (2020)","PIA/DPIA","PIA component","PIA must address all privacy obligations, including health privacy principles (HPPs) and information protection principles (IPPs), where applicable.","During DPIA process","N/A"
"153","291","Academia","PbD in healthcare","Practice","Semantha et al. (2020)","Incident management","Incident management","Formulate an incident management regulation policy and create an expert team to manage the incidents.","Before incident","N/A"
"154","294","Academia","PbD in healthcare","Practice","Semantha et al. (2020)","Incident management","Incident management","Internalize the lessons from breach incidents, meaning instead of just finding out how things could have been completed in a better way, it demands making necessary alterations to enhance the process.","N/A","N/A"
"155","295","Academia","PbD in OSINT","Practice","Koops et al. (2013)","Privacy-by-design","Technology","Revocable privacy is implemented through PETs and architecture design, limiting personal data access unless pre-established condition are met that necessitate lawful access to the information.","Hardcoded in architecture","N/A"
"156","300","Academia","Data control by design","Practice","Belli et al. (2017)","Data subject rights","Data access","User-driven data control is employed.","N/A","N/A"
"157","305","Academia","Data control by design","Practice","Belli et al. (2017)","Lawfulness, fairness, and transparency","Consent","The consent and conditions travel with the data so that they are adhered to by every entity who gains access to the data.","N/A","N/A"
